"","Code","MonthYear","VC","MC","VV","MV","N","Sum","Srat"
"410","AO",200102,27,14,12,34,2379,87,0.0365699873896595
"411","AO",200103,36,19,12,31,2507,98,0.0390905464698843
"412","AO",200104,39,20,15,23,2129,97,0.0455612963832785
"413","AO",200105,29,29,11,70,2833,139,0.0490645958348041
"414","AO",200106,32,11,13,63,2527,119,0.0470914127423823
"415","AO",200107,21,11,13,24,2236,69,0.0308586762075134
"416","AO",200108,26,5,11,60,2312,102,0.0441176470588235
"417","AO",200109,13,2,11,37,1904,63,0.0330882352941176
"418","AO",200110,22,9,6,33,1992,70,0.035140562248996
"419","AO",200111,16,10,6,6,1981,38,0.0191822311963655
"420","AO",200112,12,8,1,12,1776,33,0.0185810810810811
"421","AO",200201,28,12,0,16,1844,56,0.0303687635574837
"422","AO",200202,53,9,28,60,3189,150,0.0470366886171214
"423","AO",200203,79,15,8,49,1767,151,0.0854555744199208
"424","AO",200204,38,9,5,8,1552,60,0.038659793814433
"425","AO",200205,15,5,5,2,1021,27,0.0264446620959843
"426","AO",200206,17,7,2,4,783,30,0.0383141762452107
"427","AO",200207,15,8,0,7,2574,30,0.0116550116550117
"428","AO",200208,14,1,4,4,2332,23,0.00986277873070326
"429","AO",200209,28,1,2,8,1962,39,0.0198776758409786
"430","AO",200210,39,12,10,14,2636,75,0.0284522003034901
"431","AO",200211,11,2,7,4,1894,24,0.0126715945089757
"432","AO",200212,10,2,3,5,1768,20,0.0113122171945701
"433","AO",200301,2,2,0,2,2264,6,0.00265017667844523
"434","AO",200302,10,1,4,2,2257,17,0.00753212228622065
"435","AO",200303,3,0,4,0,3185,7,0.0021978021978022
"436","AO",200304,14,3,0,1,1779,18,0.0101180438448567
"437","AO",200305,10,1,1,1,1677,13,0.00775193798449612
"438","AO",200306,22,0,2,4,2523,28,0.011097899326199
"439","AO",200307,8,3,1,1,1985,13,0.00654911838790932
"440","AO",200308,1,0,2,3,1784,6,0.00336322869955157
"441","AO",200309,5,0,0,0,1778,5,0.00281214848143982
"442","AO",200310,5,0,0,0,2368,5,0.00211148648648649
"443","AO",200311,5,0,0,3,1523,8,0.00525279054497702
"444","AO",200312,1,0,0,1,1408,2,0.00142045454545455
"445","AO",200401,0,4,0,1,1796,5,0.00278396436525612
"446","AO",200402,3,0,1,0,1869,4,0.00214018191546281
"447","AO",200403,6,0,2,8,2109,16,0.00758653390232338
"448","AO",200404,1,0,0,1,2272,2,0.000880281690140845
"449","AO",200405,1,0,3,2,2124,6,0.00282485875706215
"450","AO",200406,2,1,2,1,1693,6,0.00354400472533963
"451","AO",200407,1,0,0,1,1293,2,0.00154679040989946
"452","AO",200408,5,2,1,4,1824,12,0.00657894736842105
"453","AO",200409,13,0,0,8,1628,21,0.0128992628992629
"454","AO",200410,10,0,1,0,1257,11,0.00875099443118536
"455","AO",200411,2,2,1,0,967,5,0.00517063081695967
"456","AO",200412,1,1,1,3,769,6,0.00780234070221066
