"Code","MonthYear","1","2","3","4"
"CD",199208,0,0,0,0
"CD",199209,3,0,0,0
"CD",199210,0,0,0,0
"CD",199211,5,0,0,4
"CD",199212,0,0,0,0
"CD",199301,0,0,0,0
"CD",199302,0,0,1,0
"CD",199303,0,0,0,0
"CD",199304,0,0,0,0
"CD",199305,0,0,1,0
"CD",199306,0,0,0,0
"CD",199307,0,0,0,0
"CD",199308,6,0,0,0
"CD",199309,0,0,0,0
"CD",199310,1,0,0,1
"CD",199311,1,0,0,0
"CD",199312,0,0,0,0
"CD",199401,0,0,3,8
"CD",199402,0,0,0,1
"CD",199403,0,0,0,0
"CD",199404,0,0,1,0
"CD",199405,0,0,0,0
"CD",199406,0,0,0,1
"CD",199407,1,0,0,0
"CD",199408,2,0,0,2
"CD",199409,0,0,0,0
"CD",199410,0,0,0,0
"CD",199411,0,0,0,0
"CD",199412,0,1,1,0
"CD",199501,0,0,0,0
"CD",199502,1,0,0,0
"CD",199503,2,2,0,1
"CD",199504,0,0,0,0
"CD",199505,0,0,0,0
"CD",199506,0,0,1,0
"CD",199507,5,0,0,2
"CD",199508,2,0,0,0
"CD",199509,6,0,0,1
"CD",199510,0,0,0,0
"CD",199511,0,0,0,0
"CD",199512,2,0,0,0
"CD",199601,0,1,0,0
"CD",199602,0,0,0,0
"CD",199603,0,0,0,0
"CD",199604,0,0,0,0
"CD",199605,0,0,2,0
"CD",199606,0,0,0,0
"CD",199607,0,0,0,0
"CD",199608,0,0,0,0
"CD",199609,0,0,0,0
"CD",199610,4,0,0,3
"CD",199611,0,0,0,0
"CD",199612,0,0,1,0
"CD",199701,1,0,0,0
"CD",199702,1,2,0,0
"CD",199703,6,0,0,0
"CD",199704,2,0,1,0
"CD",199705,2,0,0,0
"CD",199706,0,0,0,0
"CD",199707,2,0,1,0
"CD",199708,0,0,0,0
"CD",199709,0,0,2,2
"CD",199710,5,0,2,0
"CD",199711,0,3,0,0
"CD",199712,2,2,0,1
"CD",199801,0,0,0,0
"CD",199802,2,1,0,0
