"","Code","MonthYear","1","2","3","4"
"669","BY",199509,NA,NA,NA,NA
"670","BY",199510,NA,NA,NA,NA
"671","BY",199511,1,0,0,6
"672","BY",199512,1,0,3,2
"673","BY",199601,1,0,1,3
"674","BY",199602,0,1,0,1
"675","BY",199603,3,0,0,16
"676","BY",199604,8,0,2,10
"677","BY",199605,7,2,3,30
"678","BY",199606,1,2,5,8
"679","BY",199607,13,1,23,81
"680","BY",199608,12,10,8,37
"681","BY",199609,28,3,21,81
"682","BY",199610,48,7,15,50
"683","BY",199611,22,4,6,35
"684","BY",199612,11,9,2,20
"685","BY",199701,20,1,5,19
"686","BY",199702,20,1,5,15
"687","BY",199703,8,7,7,20
"688","BY",199704,13,0,5,17
"689","BY",199705,18,0,10,18
"690","BY",199706,3,1,7,18
"691","BY",199707,3,1,3,14
"692","BY",199708,4,1,5,12
"693","BY",199709,3,0,1,6
"694","BY",199710,1,0,3,18
"695","BY",199711,6,0,2,14
"696","BY",199712,6,2,3,8
"697","BY",199801,16,4,18,72
"698","BY",199802,7,1,3,7
"699","BY",199803,0,2,3,1
"700","BY",199804,2,1,10,3
"701","BY",199805,2,0,0,2
"702","BY",199806,11,0,0,9
"703","BY",199807,10,1,1,17
"704","BY",199808,3,7,0,16
"705","BY",199809,3,3,3,3
"706","BY",199810,12,3,1,8
"707","BY",199811,1,0,1,21
"708","BY",199812,6,0,1,45
"709","BY",199901,9,4,6,31
"710","BY",199902,2,2,1,1
"711","BY",199903,9,1,5,3
"712","BY",199904,3,0,0,8
"713","BY",199905,4,0,4,14
"714","BY",199906,2,1,2,9
"715","BY",199907,10,2,3,44
"716","BY",199908,15,6,6,47
"717","BY",199909,9,0,8,41
"718","BY",199910,22,4,6,59
"719","BY",199911,0,0,8,28
"720","BY",199912,5,1,6,9
"721","BY",200001,32,2,10,51
"722","BY",200002,18,7,9,36
"723","BY",200003,27,1,7,16
"724","BY",200004,32,2,15,48
"725","BY",200005,25,0,0,24
"726","BY",200006,20,4,10,37
"727","BY",200007,23,0,13,29
"728","BY",200008,59,6,23,79
"729","BY",200009,50,7,19,88
"730","BY",200010,11,3,5,26
"731","BY",200011,32,4,10,25
"732","BY",200012,15,1,6,46
"733","BY",200101,42,3,10,27
"734","BY",200102,45,1,13,55
"735","BY",200103,54,5,16,80
"736","BY",200104,48,3,21,70
"737","BY",200105,50,4,14,47
"738","BY",200106,25,8,5,47
"739","BY",200107,53,12,12,54
"740","BY",200108,31,0,20,38
"741","BY",200109,22,2,7,65
"742","BY",200110,41,0,11,56
"743","BY",200111,51,7,26,113
"744","BY",200112,25,0,6,50
"745","BY",200201,25,3,15,50
"746","BY",200202,11,4,3,18
"747","BY",200203,24,2,4,35
"748","BY",200204,36,2,8,33
"749","BY",200205,11,6,7,46
"750","BY",200206,26,0,4,37
"751","BY",200207,30,8,15,68
"752","BY",200208,105,2,14,67
"753","BY",200209,26,1,15,55
"754","BY",200210,47,10,14,38
"755","BY",200211,49,7,11,64
"756","BY",200212,42,13,15,27
"757","BY",200301,69,6,12,49
"758","BY",200302,37,4,10,41
"759","BY",200303,45,2,16,45
"760","BY",200304,21,8,11,80
"761","BY",200305,29,2,18,41
"762","BY",200306,41,7,8,50
"763","BY",200307,78,17,27,166
"764","BY",200308,28,2,8,46
"765","BY",200309,35,8,17,39
"766","BY",200310,52,4,22,30
"767","BY",200311,59,4,9,67
"768","BY",200312,30,6,13,36
"769","BY",200401,64,10,23,27
"770","BY",200402,13,3,1,11
"771","BY",200403,13,0,2,14
"772","BY",200404,19,4,13,37
"773","BY",200405,9,2,13,21
"774","BY",200406,8,3,4,10
"775","BY",200407,9,2,7,8
"776","BY",200408,26,1,19,44
"777","BY",200409,6,2,1,9
"778","BY",200410,3,0,2,3
"779","BY",200411,9,1,3,8
"780","BY",200412,4,1,0,4
"781","BY",200501,10,0,4,6
"782","BY",200502,7,4,4,1
"783","BY",200503,18,1,3,6
"784","BY",200504,18,1,2,7
"785","BY",200505,23,1,5,8
"786","BY",200506,11,0,5,16
"787","BY",200507,10,2,1,9
"788","BY",200508,23,3,3,12
"789","BY",200509,13,2,3,8
"790","BY",200510,4,3,2,6
"791","BY",200511,4,8,4,15
"792","BY",200512,6,0,1,9
"793","BY",200601,1,0,0,4
"794","BY",200602,2,0,0,9
"795","BY",200603,7,1,2,2
"796","BY",200604,11,0,1,3
"797","BY",200605,16,0,0,10
